OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560513,Schenck Forest,394.15260662,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,Museum of Art, , ,RICHLAND CREEK,,17169287.5442607,18342.9513306983,,
560514,North Cary Park,60.82466391,TOWN OF CARY,CARY,PARK, , , ,,,2649549.00348395,12536.6960167436,,
560515,Daniels Middle School,21.12341057,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,785,,,920135.764628068,3928.79092304774,,
560516,Middle Crabtree Creek Trail,6.33531118,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,287090.739721453,4451.83260907402,,
560517,Ridge Neighborhood Park,6.77591542,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,291720.381322179,2553.42420531152,,
560518,Martin Middle School,29.22319966,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,791,,,1272962.65592123,5310.39702507487,,
560519,Hill Street Park,16.58477216,CITY OF RALEIGH,RALEIGH,PARK, , , ,MARSH CREEK,,722432.675107096,4243.15535848298,,
560520,Reedy Creek Elementary,48.42163737,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,2107984.55063554,6971.40632141995,,
560521,Middle Crabtree Creek Trail,2.10650422,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,92819.1821359403,1555.11521899498,,
560522,OS-033,45.89325519,WAKE COUNTY,GARNER,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-033,1999110.22013613,8428.38884590938,,
