OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_NAME,OWNER,OWNER2,TRAIL_STATUS,TRAIL_CONDITION,TRAIL_SURFACE,TRAIL_CLASS,LENGTH,WIDTH,SLOPE,SUBSEGMENT_NAME,STREET,OPEN_DATE,MAINTAIN_DATE,EMERGENCY,LIGHTING,ACCESSIBILITY_STATUS,PUBLIC_ACCESS,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH
170,229.668446203011,Whitetail Trail,Whitetail Trail,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.04349781,,,,,,,,,NOT EVALUATED,,,,,,,,,,229.6684462
171,851.68865344633,Little Rock Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.16130467,7,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,851.68865343
175,1800.63738105576,Little Rock Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.3410356,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1800.66796567
177,2288.30410301286,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.43340336,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2288.36976591
185,2422.13489727174,Rocky Branch Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.45873767,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2422.13489727
186,9061.0438965225,Reedy Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.71635165,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,9062.33670419
187,4074.40198456077,Beaver Dam Trail,,City of Raleigh,,EXISTING,,,,0.77166704,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,4074.40198455
189,148395.764741963,Neuse River Trail,,City of Raleigh,,EXISTING,,ASPHALT,,28.10913714,10,,,,,,,,ACCESSIBLE,,,,,,,,,,148416.24408296
193,880.093745056277,Rocky Branch Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.16668442,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,880.09374507
194,131.692987172976,Rocky Branch Trail,,City of Raleigh,,EXISTING,,,,0.02494185,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,131.69298717
195,664.481853975831,Gardner Street Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.12584884,12,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,664.48185399
198,1159.03896999968,House Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.21954267,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1159.18532277
199,13387.6868459571,Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,2.53554963,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,13387.70204565
200,39.9999971904637,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,IMPORTED COMPACTED MATERIAL,,0.00757576,10,,,,,,,,ACCESSIBLE,,,,,,,,,,39.9999972
273,506.831814756786,East Fork Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.0959921,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,506.83831335
274,814.627579182086,Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.15428553,12,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,814.62757917
275,41.2111500042737,Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.00780514,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,41.21115001
276,9.9929801015604,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.00189261,12,,,,,,,,ACCESSIBLE,,,,,,,,,,9.99298011
280,337.444163631505,Neuse River Trail,,City of Raleigh,,EXISTING,,,,0.06390988,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,337.44416363
281,583.655836763051,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.11054088,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,583.65583675
284,124.172378115849,House Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.0235175,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,124.17237811
285,178.043265014433,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,,,0.03372032,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,178.04326502
287,410.569673176727,Rocky Branch Trail Extension,,City of Raleigh,,EXISTING,,ASPHALT,,0.07775941,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,410.56967318
288,60.5980440332246,East Fork Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.0114769,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,60.59804403
291,114.338944146993,Beaver Dam Trail,,City of Raleigh,,EXISTING,,,,0.0216551,,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,114.33894415
298,3611.51305605939,Walnut Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.68399868,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,3611.51305604
